image_filename,image_width,image_height,class_id,bbox_width_pixels,bbox_height_pixels
dc1000_195.png,2943,1435,0,14,20
dc1000_195.png,2943,1435,0,10,12
dc1000_195.png,2943,1435,0,8,17
dc1000_195.png,2943,1435,0,12,16
dc1000_195.png,2943,1435,0,66,55
dc1000_195.png,2943,1435,0,13,10
dc1000_195.png,2943,1435,0,105,125
dc1000_195.png,2943,1435,0,18,24
dc1000_195.png,2943,1435,0,40,36
dc1000_181.png,2943,1435,0,13,12
dc1000_181.png,2943,1435,0,5,17
dc1000_181.png,2943,1435,0,24,30
dc1000_181.png,2943,1435,0,10,12
dc1000_181.png,2943,1435,0,7,9
dc1000_181.png,2943,1435,0,30,35
dc1000_181.png,2943,1435,0,13,14
dc1000_181.png,2943,1435,0,14,14
dc1000_181.png,2943,1435,0,63,35
dc1000_181.png,2943,1435,0,42,39
dc1000_181.png,2943,1435,0,23,29
dc1000_181.png,2943,1435,0,39,55
dc1000_181.png,2943,1435,0,43,59
dc1000_181.png,2943,1435,0,39,32
dc1000_181.png,2943,1435,0,62,72
dc1000_181.png,2943,1435,0,59,76
dc1000_181.png,2943,1435,0,37,59
dental_radiography_0078_jpg.rf.3df5e76aaf3853ffeb55283ed9666c1e.jpg,512,256,0,36,25
dc1000_630.png,2943,1435,0,24,32
dc1000_630.png,2943,1435,0,23,14
dc1000_630.png,2943,1435,0,8,11
dc1000_630.png,2943,1435,0,10,16
dc1000_630.png,2943,1435,0,13,30
dc1000_630.png,2943,1435,0,23,41
dc1000_630.png,2943,1435,0,24,10
dc1000_630.png,2943,1435,0,10,29
dc1000_630.png,2943,1435,0,18,36
dc1000_630.png,2943,1435,0,18,29
dc1000_156.png,2943,1435,0,16,14
dc1000_156.png,2943,1435,0,32,67
dc1000_156.png,2943,1435,0,8,14
dc1000_156.png,2943,1435,0,44,13
dc1000_156.png,2943,1435,0,18,29
dc1000_156.png,2943,1435,0,11,35
dc1000_156.png,2943,1435,0,7,26
dc1000_142.png,2943,1435,0,11,13
dc1000_142.png,2943,1435,0,6,11
dc1000_142.png,2943,1435,0,13,22
dc1000_142.png,2943,1435,0,9,7
dc1000_142.png,2943,1435,0,13,7
dc1000_142.png,2943,1435,0,12,9
dc1000_142.png,2943,1435,0,15,23
dc1000_142.png,2943,1435,0,9,8
dc1000_142.png,2943,1435,0,14,30
dc1000_142.png,2943,1435,0,69,79
dc1000_624.png,2943,1435,0,21,15
dc1000_624.png,2943,1435,0,84,61
dc1000_624.png,2943,1435,0,23,22
dc1000_624.png,2943,1435,0,12,15
dc1000_624.png,2943,1435,0,29,27
dc1000_624.png,2943,1435,0,23,42
dc1000_624.png,2943,1435,0,88,90
dc1000_624.png,2943,1435,0,17,23
dc1000_624.png,2943,1435,0,19,39
dental_radiography_0054_jpg.rf.b81c1de4282e2881bc92f9d5b6ca106f.jpg,512,256,0,31,51
opg_xray_5.jpg,1184,618,0,80,121
dc1000_618.png,2943,1435,0,25,18
dc1000_618.png,2943,1435,0,49,31
dc1000_618.png,2943,1435,0,86,64
dc1000_618.png,2943,1435,0,7,7
dc1000_618.png,2943,1435,0,23,24
dental_radiography_0180_jpg.rf.f74c66bb6212781fc6e6404fffe7ab9d.jpg,512,256,0,36,43
dental_radiography_0180_jpg.rf.f74c66bb6212781fc6e6404fffe7ab9d.jpg,512,256,0,28,43
dental_radiography_0180_jpg.rf.f74c66bb6212781fc6e6404fffe7ab9d.jpg,512,256,0,32,35
dental_radiography_0511_jpg.rf.b1326c3c6b6a7912bf59256595ad5ab6.jpg,512,256,0,25,34
dental_radiography_0511_jpg.rf.b1326c3c6b6a7912bf59256595ad5ab6.jpg,512,256,0,13,29
dental_radiography_0511_jpg.rf.b1326c3c6b6a7912bf59256595ad5ab6.jpg,512,256,0,17,26
dental_radiography_0511_jpg.rf.b1326c3c6b6a7912bf59256595ad5ab6.jpg,512,256,0,23,24
opg_xray_19.jpg,1203,596,0,124,119
dc1000_383.png,2943,1435,0,8,8
dc1000_383.png,2943,1435,0,16,24
dc1000_383.png,2943,1435,0,20,23
dc1000_383.png,2943,1435,0,50,60
opg_xray_25.jpg,1203,642,0,75,128
opg_xray_25.jpg,1203,642,0,97,135
dc1000_354.png,2943,1435,0,30,36
dc1000_354.png,2943,1435,0,14,17
dc1000_354.png,2943,1435,0,31,23
dc1000_354.png,2943,1435,0,41,68
dc1000_354.png,2943,1435,0,10,8
dc1000_432.png,2943,1435,0,24,29
dc1000_432.png,2943,1435,0,15,23
